
=== 決定的要素カバー率（[N]/[E] の必須要素のみ。judge非依存）run=k24 ===
  Q115 C4 0/4 = 0.00
  Q116 C4 3/4 = 0.75
  Q117 C4 2/4 = 0.50
  Q118 C4 0/4 = 0.00
  Q119 C4 0/4 = 0.00
  Q120 C4 4/4 = 1.00
  Q121 C4 4/4 = 1.00
  Q122 C4 4/4 = 1.00
  Q123 C4 3/4 = 0.75
  Q124 C4 3/4 = 0.75
  Q125 C4 2/4 = 0.50
  Q126 C4 1/4 = 0.25
  Q127 C4 1/4 = 0.25
  Q128 C4 4/4 = 1.00
  Q129 C4 3/4 = 0.75
  Q130 C4 3/4 = 0.75
  Q131 C4 4/4 = 1.00
  Q132 C4 2/4 = 0.50
  Q133 C4 4/4 = 1.00
  Q134 C4 4/4 = 1.00
  Q135 C4 2/4 = 0.50
  Q136 C4 1/4 = 0.25
  Q137 C4 1/4 = 0.25
  Q138 C4 4/4 = 1.00
  Q139 C4 2/4 = 0.50 ★HALLUCINATION
  Q140 C4 4/4 = 1.00
  Q141 C4 4/4 = 1.00
  Q142 C5 2/2 = 1.00
  Q143 C5 0/1 = 0.00
  Q144 C5 2/2 = 1.00
  Q145 C5 2/3 = 0.67
  Q146 C5 0/3 = 0.00
  Q147 C5 2/2 = 1.00
  Q148 C5 1/2 = 0.50
  Q149 C5 2/2 = 1.00
  Q150 C5 0/1 = 0.00
  Q151 C5 0/3 = 0.00
  Q152 C5 3/3 = 1.00
  Q153 C5 3/5 = 0.60
  Q154 C5 0/2 = 0.00
  Q155 C5 2/3 = 0.67
  Q156 C5 2/3 = 0.67
  Q157 C6 2/2 = 1.00
  Q158 C6 0/1 = 0.00 ★HALLUCINATION
  Q159 C6 1/1 = 1.00
  Q160 C6 1/1 = 1.00
  Q161 C6 1/1 = 1.00
  Q162 C6 1/2 = 0.50
  Q163 C6 1/2 = 0.50
  Q164 C6 1/2 = 0.50
  Q165 C6 1/2 = 0.50
  Q166 C6 2/2 = 1.00
  Q167 C6 2/2 = 1.00
  Q168 C6 1/2 = 0.50
  ---- プール比率: 439/650 = 0.675
  ---- 完全正答(決定的要素のみ): 63/166
  ---- ハルシネーション: 8/166

=== カテゴリ別 ===
  C1 集約・構成         : 88/136 = 0.647 (n=24問)
  C2 マルチホップ        : 142/190 = 0.747 (n=49問)
  C3 比較            : 90/138 = 0.652 (n=32問)
  C4 要約            : 79/121 = 0.653 (n=30問)
  C5 推論・含意         : 25/43 = 0.581 (n=17問)
  C6 unanswerable  : 15/22 = 0.682 (n=14問)

(採点結果JSON → out/cushion/judged-166-topk24.json)
